State / UT,Male,Female
Andaman & Nicobar Islands,107,31
Andhra Pradesh,3822,1833
Arunachal Pradesh,59,30
Assam,1585,686
Bihar,196,177
Chandigarh,77,36
Chhattisgarh,4401,1883
Dadra & Nagar Haveli,51,25
Daman & Diu,29,12
Delhi,1693,764
Goa,191,82
Gujarat,4802,2565
Haryana,2600,719
Himachal Pradesh,338,238
Jammu & Kashmir,149,138
Jharkhand,870,318
Karnataka,8408,3067
Kerala,6069,1756
Ladakh,8,4
Lakshadweep,0,0
Madhya Pradesh,7397,4350
Maharashtra,13218,4370
Manipur,27,16
Meghalaya,126,36
Mizoram,76,15
Nagaland,25,8
Odisha,2173,2320
Puducherry,256,109
Punjab,1154,327
Rajasthan,2749,1058
Sikkim,160,53
Tamil Nadu,9851,4549
Telangana,5263,2352
Tripura,454,238
Uttar Pradesh,2536,1837
Uttarakhand,209,121
West Bengal,7234,4753
